sheet,row,run,role,case,profile,teacher_seed,student_seed,teacher_updates,horizon,selection,step,HQNR,ERGAS,D_lambda,D_s,signed_Ds_positive_fraction,checkpoint_sha256
GF2-s5,24,L100I1_GF2_S_S5_R100_TS94003_SS95002_BASE_PLH_W104_D122_FRESH100K_v2,S,L100I1-S14,BASE,94003,95002,100000,100000,EXACT_FINAL,100000,0.9513086066967112,0.5477601616788584,0.020804338024962492,0.028464605670362225,1,06594ae84071e75ed37785715c2d81395c1add5fbdf5feceed1315747a87c557
GF2-s5,24,L100I1_GF2_S_S5_R100_TS94003_SS95002_BASE_PLH_W104_D122_FRESH100K_v2,S,L100I1-S14,BASE,94003,95002,100000,100000,RR_VAL_SELECTED,98980,0.9512832885612763,0.5476554626673898,0.020799531575049178,0.02849524022558663,1,2bcc2252e95cde877b191dc2c22056e82563244360b9014bfc71a24173d0dd70
GF2-s5,24,L100I1_GF2_S_S5_R100_TS94003_SS95002_BASE_PLH_W104_D122_FRESH100K_v2,S,L100I1-S14,BASE,94003,95002,100000,100000,RAW_MAX,92920,0.9515478909291433,0.5486791196207389,0.020782410594543155,0.028242467212246825,1,fa4de549d7e1b1f3b426b2d65bb84a1d658beea5395dd7e15721283710e3a889
GF2-s5,24,L100I1_GF2_S_S5_R100_TS94003_SS95002_BASE_PLH_W104_D122_FRESH100K_v2,S,L100I1-S14,BASE,94003,95002,100000,100000,MID50_OF100,50000,0.9454646407777657,0.5551458870784266,0.02159407465281497,0.033651043768431255,1,71230a381b72a868c5a5998ad6e6f60d68fae776a9baee939ee6d55ec1b93dcd
GF2-s5,24,L100I1_GF2_S_S5_R100_TS94003_SS95002_BASE_PLH_W104_D122_FRESH100K_v2,S,L100I1-S14,BASE,94003,95002,100000,100000,E_MIN_DIAG,98980,0.9512832885612763,0.5476554626673898,0.020799531575049178,0.02849524022558663,1,2bcc2252e95cde877b191dc2c22056e82563244360b9014bfc71a24173d0dd70
GF2-s5,25,L100I1_GF2_T_S5_TS94003_C100_P0_W112_D123_FRESH100K_v2,T,L100I1-T04,C100,94003,,100000,100000,EXACT_FINAL,100000,0.9423212665516335,0.5574345275452478,0.025814927228999356,0.03271047875956112,0.9875,3fcaa1dc67bd54f677e22dd09041d267c893b9b1791a6d2a7063ff0b2e800f8e
GF2-s5,25,L100I1_GF2_T_S5_TS94003_C100_P0_W112_D123_FRESH100K_v2,T,L100I1-T04,C100,94003,,100000,100000,RR_VAL_SELECTED,100000,0.9423212665516335,0.5574345275452478,0.025814927228999356,0.03271047875956112,0.9875,3fcaa1dc67bd54f677e22dd09041d267c893b9b1791a6d2a7063ff0b2e800f8e
GF2-s5,25,L100I1_GF2_T_S5_TS94003_C100_P0_W112_D123_FRESH100K_v2,T,L100I1-T04,C100,94003,,100000,100000,RAW_MAX,28280,0.943348192976085,0.5852985874016525,0.024435536614255893,0.03301241792314729,0.9875,d1d9d18b08ee51994071366e44864c509d94b9027ad37039ad9d3fe91e0925e6
GF2-s5,25,L100I1_GF2_T_S5_TS94003_C100_P0_W112_D123_FRESH100K_v2,T,L100I1-T04,C100,94003,,100000,100000,MID50_OF100,50000,0.940328570735925,0.5697305308325838,0.026505539593243164,0.034063321284190866,0.9875,eddb5231b03e0fdf68d3ed3978e5df7c9ceb7f1d45913d7dcc1115c236d0d6a5
GF2-s5,25,L100I1_GF2_T_S5_TS94003_C100_P0_W112_D123_FRESH100K_v2,T,L100I1-T04,C100,94003,,100000,100000,E_MIN_DIAG,88880,0.9416562254372849,0.556038616339529,0.026011686812431444,0.03320028894250533,0.9875,aceeb4ec1893aa90e0c68a2e3d6fb45ae9a3db32e6729a6fe769ec77c13c139e
